image_name,label
crypto_chart_patterns_BNB/chart_0.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_10.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_20.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_30.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_40.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_50.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_60.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_70.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_80.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_90.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_100.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_110.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_120.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_130.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_140.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_150.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_160.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_170.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_180.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_190.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_200.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_210.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_220.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_230.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_240.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_250.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_260.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_270.png,Bearish_Engulfing|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_280.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_290.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_300.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_310.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_320.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_330.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_340.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_350.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_360.png,Bearish_Engulfing|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_370.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_380.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_390.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_400.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_410.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_420.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_430.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_440.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_450.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_460.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_470.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_480.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
crypto_chart_patterns_BNB/chart_490.png,Bearish_Engulfing|Harami|Bullish_Engulfing|Doji
